RE,LABEL,COLOR
ret|br|switch|indirectbr|invoke|callbr|resume|unreachable|catchswitch|catchret|cleanupret,          terminator,             #feb7d3
add|sub|mul|udiv|sdiv|urem|srem|fadd|fsub|fmul|fdiv|frem|fneg,                                      bynary,                 #b5a9df
shl|lshr|ashr|and|or|xor,                                                                           bitwise,                #bfa1cb
extractelement|insertelement,                                                                       vector,                 #abb37c
shufflevector|extractvalue|insertvalue,                                                             aggregate,              #eadcff
load,                                                                                               load,                   #caa488
store,                                                                                              store,                  #8eecff
fence|cmpxchg|atomicrmw|alloca|getelementptr,                                                       memory,                 #ffb9b7
trunc|zext|sext|fptrunc|fpext|fptoui|fptosi|uitofp|sitofp|ptrtoint|inttoptr|bitcast|addrspacecast,  conversion,             #efffdd
call,                                                                                               call,                   #73b7b6
phi,                                                                                                phi,                    #fff5e1
icmp|fcmp|select|freeze|va_arg|landingpad|catchpad|cleanuppad,                                      other,                  #a1afa2
llvmllvm.\*,                                                                                        intrinsic,              #c3e6ff
\*,                                                                                                 undef,                  #ffffff
